fecha,cod,prov,lng,lat,paro
2020-6,47,Valladolid,-4.847,41.634,35330
2020-5,34,Palencia,-4.535,42.37,11004
2020-5,37,Salamanca,-6.066,40.805,26632
2020-5,47,Valladolid,-4.847,41.634,36327
2020-5,07,Castilla León,-4.397,41.835,170292
2020-5,49,Zamora,-5.979,41.727,13257
2020-5,05,Ávila,-4.946,40.571,12908
2020-5,09,Burgos,-3.586,42.367,23084
2020-5,24,León,-5.841,42.62,33787
2020-5,40,Segovia,-4.055,41.171,8743
2020-5,42,Soria,-2.589,41.621,4550
2020-4,24,León,-5.841,42.62,33238
2020-4,47,Valladolid,-4.847,41.634,35454
2020-4,09,Burgos,-3.586,42.367,22189
2020-4,34,Palencia,-4.535,42.37,10776
2020-4,37,Salamanca,-6.066,40.805,26222
2020-4,40,Segovia,-4.055,41.171,8329
2020-4,42,Soria,-2.589,41.621,4374
2020-4,05,Ávila,-4.946,40.571,12827
2020-4,49,Zamora,-5.979,41.727,12945
2020-4,07,Castilla León,-4.397,41.835,166354
2020-3,05,Ávila,-4.946,40.571,11988
2020-3,34,Palencia,-4.535,42.37,9872
2020-3,07,Castilla León,-4.397,41.835,152644
2020-3,09,Burgos,-3.586,42.367,20184
2020-3,37,Salamanca,-6.066,40.805,23587
2020-3,49,Zamora,-5.979,41.727,12091
2020-3,24,León,-5.841,42.62,31072
2020-3,40,Segovia,-4.055,41.171,7465
2020-3,42,Soria,-2.589,41.621,3930
2020-3,47,Valladolid,-4.847,41.634,32455
2020-2,05,Ávila,-4.946,40.571,11190
2020-2,49,Zamora,-5.979,41.727,11549
2020-2,09,Burgos,-3.586,42.367,18981
2020-2,34,Palencia,-4.535,42.37,9092
2020-2,42,Soria,-2.589,41.621,3646
2020-2,47,Valladolid,-4.847,41.634,30144
2020-2,07,Castilla León,-4.397,41.835,143723
2020-2,24,León,-5.841,42.62,29482
2020-2,37,Salamanca,-6.066,40.805,22660
2020-2,40,Segovia,-4.055,41.171,6979
2020-1,24,León,-5.841,42.62,29684
2020-1,34,Palencia,-4.535,42.37,9234
2020-1,37,Salamanca,-6.066,40.805,22733
2020-1,49,Zamora,-5.979,41.727,11540
